time	V(x)	V(z)	-V(yn)
1.783769658511429e+00	1.460960e+00	2.937139e+00	1.992246e+00
1.784769658511429e+00	1.509120e+00	3.143213e+00	1.941028e+00
1.784894658511429e+00	1.514342e+00	3.168616e+00	1.932176e+00
1.785144658511429e+00	1.524428e+00	3.219139e+00	1.913483e+00
1.785644658511429e+00	1.542351e+00	3.318142e+00	1.870216e+00
1.786644658511429e+00	1.568380e+00	3.504551e+00	1.761090e+00
1.787644658511429e+00	1.580220e+00	3.670312e+00	1.624319e+00
1.788644658511429e+00	1.576816e+00	3.809313e+00	1.464639e+00
1.789644658511429e+00	1.557738e+00	3.916962e+00	1.288342e+00
1.790644658511428e+00	1.523240e+00	3.990637e+00	1.102690e+00
1.791644658511428e+00	1.474259e+00	4.029862e+00	9.151899e-01
1.792644658511428e+00	1.412333e+00	4.036195e+00	7.328775e-01
1.793644658511428e+00	1.339473e+00	4.012868e+00	5.617189e-01
1.794644658511428e+00	1.257997e+00	3.964263e+00	4.062243e-01
1.795644658511428e+00	1.170356e+00	3.895339e+00	2.692982e-01
1.796644658511428e+00	1.078970e+00	3.811109e+00	1.523048e-01
1.796769658511428e+00	1.067368e+00	3.799619e+00	1.392622e-01
1.796800908511428e+00	1.064467e+00	3.796737e+00	1.360212e-01
1.796863408511428e+00	1.058662e+00	3.790954e+00	1.295784e-01
1.796879033511428e+00	1.057210e+00	3.789502e+00	1.279824e-01
1.796910283511428e+00	1.054306e+00	3.786591e+00	1.248002e-01
1.796918096011428e+00	1.053580e+00	3.785862e+00	1.240083e-01
1.796933721011428e+00	1.052127e+00	3.784402e+00	1.224269e-01
1.796937627261428e+00	1.051764e+00	3.784037e+00	1.220325e-01
1.796945439761428e+00	1.051038e+00	3.783306e+00	1.212443e-01
1.796945683902053e+00	1.051015e+00	3.783283e+00	1.212197e-01
1.796945744937209e+00	1.051009e+00	3.783278e+00	1.212135e-01
1.796945867007522e+00	1.050998e+00	3.783266e+00	1.212012e-01
1.796946111148147e+00	1.050975e+00	3.783243e+00	1.211766e-01
1.796946172183303e+00	1.050970e+00	3.783237e+00	1.211705e-01
1.796946294253615e+00	1.050958e+00	3.783226e+00	1.211582e-01
1.796946538394240e+00	1.050936e+00	3.783203e+00	1.211335e-01
1.796947026675491e+00	1.050890e+00	3.783158e+00	1.210843e-01
1.796948003237991e+00	1.050799e+00	3.783066e+00	1.209859e-01
1.796949956362990e+00	1.050618e+00	3.782883e+00	1.207892e-01
1.796953862612990e+00	1.050255e+00	3.782517e+00	1.203958e-01
1.796961675112990e+00	1.049528e+00	3.781785e+00	1.196101e-01
1.796977300112991e+00	1.048075e+00	3.780319e+00	1.180424e-01
1.797008550112990e+00	1.045168e+00	3.777380e+00	1.149215e-01
1.797071050112991e+00	1.039353e+00	3.771477e+00	1.087380e-01
1.797196050112990e+00	1.027717e+00	3.759570e+00	9.660332e-02
1.797446050112991e+00	1.004439e+00	3.735383e+00	7.325485e-02
1.797946050112990e+00	9.579642e-01	3.685743e+00	3.016324e-02
1.798946050112990e+00	8.661479e-01	3.582988e+00	-4.238105e-02
1.799946050112990e+00	7.769637e-01	3.477760e+00	-9.819420e-02
1.800946050112990e+00	6.916528e-01	3.372375e+00	-1.394104e-01
1.801946050112990e+00	6.111301e-01	3.268478e+00	-1.682616e-01
1.802946050112990e+00	5.360140e-01	3.167156e+00	-1.869184e-01
1.803946050112990e+00	4.666649e-01	3.069057e+00	-1.973875e-01
1.804946050112990e+00	4.032282e-01	2.974503e+00	-2.014547e-01
1.805946050112990e+00	3.456771e-01	2.883590e+00	-2.006629e-01
